window_start,window_end,new_volume,top_volume,correlation
2026-07-04T20:45,2026-07-05T19:47,62,25,-0.1076
2026-07-04T20:46,2026-07-05T19:48,62,50,-0.1847
2026-07-04T20:49,2026-07-05T19:49,62,75,-0.2493
2026-07-04T20:50,2026-07-05T19:50,61,100,-0.3237
2026-07-05T10:07,2026-07-05T19:51,61,125,-0.3869
2026-07-05T10:12,2026-07-05T19:52,36,150,-0.3254
2026-07-05T10:18,2026-07-05T19:53,35,175,-0.3896
2026-07-05T10:30,2026-07-05T19:54,35,200,-0.4581
2026-07-05T10:32,2026-07-05T19:55,33,225,-0.5358
2026-07-05T10:35,2026-07-05T19:56,34,250,-0.6767
2026-07-05T19:46,2026-07-05T19:57,34,275,-0.9948
2026-07-05T19:47,2026-07-05T19:58,10,300,0.0
2026-07-05T19:48,2026-07-05T19:59,9,300,0.0
2026-07-05T19:49,2026-07-05T20:00,9,300,0.0
2026-07-05T19:50,2026-07-05T20:01,8,300,0.0
2026-07-05T19:51,2026-07-05T20:02,9,300,0.0
