timestamp,drift_score,sample_title,before_titles,after_titles
2026-07-15T08:57:56.892339,0.2967,The problem with modern JavaScript frameworks,Show HN: PulseLite - Real-time HN Intelligence Dashboard | Anthropic releases Claude with extended context window | Show HN: I built a real-time Kafka pipeline for HN data,Why I left FAANG after 5 years | Show HN: I built a compiler in a weekend | Anthropic releases Claude with extended context window
2026-07-15T08:59:56.892339,0.2099,Show HN: I built a compiler in a weekend,Why I left FAANG after 5 years | Show HN: I built a compiler in a weekend | Anthropic releases Claude with extended context window,OpenAI releases GPT-5 with 10x better reasoning | DeepMind achieves breakthrough in protein structure prediction | Kafka vs RabbitMQ in 2026 - which should you choose?
2026-07-15T09:01:56.892339,0.0843,DeepMind achieves breakthrough in protein structure prediction,OpenAI releases GPT-5 with 10x better reasoning | DeepMind achieves breakthrough in protein structure prediction | Kafka vs RabbitMQ in 2026 - which should you choose?,OpenAI releases GPT-5 with 10x better reasoning | Kafka vs RabbitMQ in 2026 - which should you choose? | The hidden costs of microservices architecture
2026-07-15T09:03:56.892339,0.1712,Show HN: I trained a model on HN comments,OpenAI releases GPT-5 with 10x better reasoning | Kafka vs RabbitMQ in 2026 - which should you choose? | The hidden costs of microservices architecture,Why Python is still the king of data engineering | Ask HN: How do you handle burnout as a developer? | DeepMind achieves breakthrough in protein structure prediction
2026-07-15T09:05:56.892339,0.2153,Google announces new AI coding assistant,Why Python is still the king of data engineering | Ask HN: How do you handle burnout as a developer? | DeepMind achieves breakthrough in protein structure prediction,Show HN: Open source alternative to Datadog | Show HN: I built a compiler in a weekend | Google announces new AI coding assistant
2026-07-15T09:07:56.892339,0.2622,Ask HN: Best resources for learning Kafka?,Show HN: Open source alternative to Datadog | Show HN: I built a compiler in a weekend | Google announces new AI coding assistant,Ask HN: What's the best way to learn data engineering? | The death of the junior developer | Show HN: I built a real-time Kafka pipeline for HN data
2026-07-15T09:09:56.892339,0.3209,The death of the junior developer,Ask HN: What's the best way to learn data engineering? | The death of the junior developer | Show HN: I built a real-time Kafka pipeline for HN data,Kafka vs RabbitMQ in 2026 - which should you choose? | Why I left FAANG after 5 years | Show HN: I trained a model on HN comments
2026-07-15T09:11:56.892339,0.4012,Show HN: Open source alternative to Datadog,Kafka vs RabbitMQ in 2026 - which should you choose? | Why I left FAANG after 5 years | Show HN: I trained a model on HN comments,Show HN: My open source Streamlit dashboard template | Ask HN: Best resources for learning Kafka? | Why I left FAANG after 5 years
2026-07-15T09:13:56.892339,0.3977,The death of the junior developer,Show HN: My open source Streamlit dashboard template | Ask HN: Best resources for learning Kafka? | Why I left FAANG after 5 years,DeepMind achieves breakthrough in protein structure prediction | Ask HN: How do you handle burnout as a developer? | Show HN: Open source alternative to Datadog
2026-07-15T09:15:56.892339,0.4158,Ask HN: How do you handle burnout as a developer?,DeepMind achieves breakthrough in protein structure prediction | Ask HN: How do you handle burnout as a developer? | Show HN: Open source alternative to Datadog,Rust is now the most loved language for 8th year in a row | Kafka vs RabbitMQ in 2026 - which should you choose? | The rise of streaming databases
